Promoter	Predicted Expression
RPS15	1.93852309704
RPL15A_Mut1	1.93847394176
RPL10_Mut4	1.93796738341
RPL37B	1.93767290875
RPS9B	1.93802451112
RPL28	1.93884624543
RPL8A_Mut3	1.93815129678
RPL39_Mut1	1.93810225425
RPS9A_Mut1	1.94009181725
RPL13A_Mut1	1.93803430619
RPS28A	1.93800556859
RPL41B_Mut1	1.93805677726
RPS10B	1.94150386348
RPL21A	1.93856820993
RPL12B	1.93788566907
RPS20_Mut1	1.93816248721
RPL3_Mut5	1.94172390663
RPL21B	1.93794835305
RPL35B	1.93777615114
RPS5	1.93808776638
RPL26A	1.93795805106
RPL4A_Mut6	1.93826532114
RPL4A_Mut3	1.93827267437
RPL11A	1.93802451361
RPL4A_Mut4	1.93824503866
RPL6A	1.93799546195
RPL10_Mut2	1.93788395463
RPL36B_Mut1	1.93819678203
RPL39_Mut2	1.93808996234
RPL15A_Mut2	1.93843801739
RPS22A	1.93807937072
RPP1B_Mut1	1.93750953482
RPL3_Mut4	1.941719071
RPS19B	1.9381073183
RPL7B_Mut2	1.93819208805
RPL3_Mut1	1.94176284257
RPL37A	1.93806740292
RPL8A_Mut1	1.93814603953
RPL7B_Mut1	1.9382175604
RPL10_Mut3	1.9378850483
RPL8A_Mut2	1.93819222206
RPL42A	1.93900799425
RPL3_Mut3	1.94168042147
RPS14B_Mut1	1.93808818564
RPS17B	1.93766908496
RPL4A_Mut2	1.93824866826
RPL4A_Mut1	1.93826846946
RPL3_Mut2	1.94173887139
RPS30A	1.93813107564
RPL14B_Mut1	1.93789284721
RPS12_Mut1	1.9379642002
RPL4A_Mut5	1.9382203895
RPL10_Mut1	1.93784670008
=======
RPL4A_Mut1	1.93826846946
RPS17B	1.93766908496
RPL3_Mut4	1.941719071
RPL4A_Mut3	1.93827267437
RPL21B	1.93794835305
RPL41B_Mut1	1.93805677726
RPL42A	1.93900799425
RPL4A_Mut5	1.9382203895
RPL37A	1.93806740292
RPL21A	1.93856820993
RPL10_Mut2	1.93788395463
RPL13A_Mut1	1.93803430619
RPL4A_Mut4	1.93824503866
RPS20_Mut1	1.93816248721
RPL7B_Mut2	1.93819208805
RPS9A_Mut1	1.94009181725
RPL10_Mut3	1.9378850483
RPS30A	1.93813107564
RPL8A_Mut2	1.93819222206
RPL36B_Mut1	1.93819678203
RPL4A_Mut6	1.93826532114
RPL12B	1.93788566907
RPL3_Mut3	1.94168042147
RPS28A	1.93800556859
RPL39_Mut2	1.93808996234
RPS5	1.93808776638
RPL11A	1.93802451361
RPL3_Mut1	1.94176284257
RPL37B	1.93767290875
RPS12_Mut1	1.9379642002
RPL28	1.93884624543
RPL8A_Mut3	1.93815129678
RPL3_Mut5	1.94172390663
RPS22A	1.93807937072
RPL15A_Mut1	1.93847394176
RPL4A_Mut2	1.93824866826
RPL7B_Mut1	1.9382175604
RPL6A	1.93799546195
RPL26A	1.93795805106
RPL10_Mut1	1.93784670008
RPL15A_Mut2	1.93843801739
RPL8A_Mut1	1.93814603953
RPL3_Mut2	1.94173887139
RPL10_Mut4	1.93796738341
RPL14B_Mut1	1.93789284721
RPS19B	1.9381073183
RPL35B	1.93777615114
RPP1B_Mut1	1.93750953482
RPS9B	1.93802451112
RPS15	1.93852309704
RPS10B	1.94150386348
RPL39_Mut1	1.93810225425
RPS14B_Mut1	1.93808818564
